TID,FIRST_NAME,LAST_NAME,TYPE,TITLE,ABSTRACT
30,Anjali,Beniwal,Contributed talk,Computation of an exact and approximate GCRD of several polynomial matrices using generalized Sylvester matrices,"The computation of an exact and approximate Greatest Common Right Divisor (GCRD) of polynomial matrices is a fundamental problem in control theory and signal processing. While extensive research has been conducted on the Greatest Common Divisors (GCDs) of scalar polynomials, the study of GCRDs in polynomial matrices remains relatively limited. It is important to develop fast and reliable ways to compute both exact and approximate GCRD, especially when dealing with approximate cases where the data is corrupted by noise.\\
We address the problem of computing both exact and approximate GCRDs for a given set of univariate polynomial matrices $B_1(s), \dots, B_t(s)$. We establish a key theoretical result—proving that the rank deficiency of a particular generalized Sylvester matrix associated with $P(s)$, where $P(s)$ is obtained by stacking $B_1(s), \dots, B_t(s)$ one below the other, corresponds to the degree of the determinant of their GCRD. This equivalence enables us to develop efficient algorithms for computing an exact GCRD using \textit{Effectively Eliminating QR} (EEQR) decomposition and $SVD$ of that particular generalized Sylvester matrix. $SVD$ can handle noise-corrupted data, making it particularly effective for computing an approximate GCRD. This approach leverages the numerical rank of that particular generalized Sylvester matrix to estimate the degree of an approximate GCRD. Both algorithms are simple to develop, easy to understand, and convenient to implement, ensuring scalability.\\
We validate our results through various numerical examples, demonstrating their effectiveness. These findings have significant implications for applications requiring polynomial matrix factorizations and simplifications in the presence of noise and uncertainty."
31,Angelo,Galimba,MS31: Matrix decompositions and applications,Reversibility problem for real quaternion matrices,"In a group $G$, we say that $g \in G$ is \emph{reversible} if there exists $s \in G$ such that $s^{-1}gs = g^{-1}$. Moreover, such $g$ is \emph{strongly reversible} if $s$ is an involution, i.e., $s^2 = e$ where $e$ is the identity of the group $G$. In this talk, we study the reversibility problem in the group of invertible matrices over real quaternions $\mathbb{H}$, $GL(n, \mathbb{H})$. We completely classify up to standard Jordan form all real quaternion matrices in $GL(n,\mathbb{H})$ that are strongly reversible."
32,Partha,Rana,Contributed talk,Some symmetric sign patterns requiring unique inertia,"A sign pattern is a matrix whose entries are from the set $\{+,-,0\}$. A sign pattern requires unique inertia if every matrix in its qualitative class has the same inertia. For symmetric tree sign patterns, several necessary and sufficient conditions to require unique inertia are known. In this paper, sufficient conditions for symmetric tree sign patterns to require unique inertia based on the sign and position of the loops in the underlying graph are given. Further, some sufficient conditions for a symmetric sign pattern to require unique inertia if the underlying graph contains cycles are determined."
33,Chi Ho,Yuen,MS25: Enumerative/algebraic combinatorics and matrices,The critical groups of hypercubes and beyond,"The critical group of a graph $G$ is the torsion part of the cokernel of its Laplacian. It refines the number of spanning trees of $G$ in an algebraic way and is related to the chip-firing game (or abelian sandpile model) on $G$. In this talk, we survey several results on the critical groups of the hypercube graphs and their generalizations, including my works on Cayley graphs (joint with J. Gao, J. Marx-Kuo, and V. McDonald) and Adinkras (partly joint with K. Iga, C. Klivans, J. Kostiuk, and with K. Hung), which are decorated graphs introduced by physicists to encode special supersymmetry algebras. The emphasis will be on the novel algebraic techniques employed to prove these results."
34,Rafik,Bouifden,MS29: Matrix functions and related topics,The expansion of functions by Toeplitz matrices,"The expansion of a real function is a crucial technique for representing a function as an infinite series of simpler functions. This method serves as the primary tool for locally approximating functions that cannot be expressed solely through basic operations—addition, subtraction, multiplication, and division—using polynomials.
To grasp the significance of this mathematical concept, historical and epistemological research is essential, as noted by Sierpinska $[1]$. The notion of expansion has evolved through several stages, reflecting the development of a broad conceptual framework. R. Kouki $[2]$ categorizes these stages into five non-linear steps, which incorporate various geometric, analytical, and algebraic techniques. The groundwork for this work was laid in the early seventeenth century by mathematicians such as Torricelli, Roberval, Fermat, Descartes, and Isaac Barrow, who addressed tangent problems. This was further articulated by Taylor in 1715 and later expanded upon by Newton and Leibniz through polynomial methods, with significant contributions from Cauchy in 1823 and Abel in 1826, culminating in Poincar\'e's work in 1886.
Today, calculating the expansion of a function often requires divisions based on increasing powers, where approximate reasoning involves neglecting certain terms in this limiting process. In this context, we propose a novel algorithmic matrix technique that leverages the fundamental properties of matrix computations. Specifically, we associate the expansion of a function $f$ to order $n$ near zero with a Toeplitz triangular matrix, where the first column represents the polynomial corresponding to the expansion of $f$. We then outline all calculation rules for these limited developments. Ultimately, our work gives a quick algorithm to find, according to Douady $[3]$ the object ``the expansion'' of non-usual functions, whose Toeplitz matrices we have chosen as a ``tool'' and vice
versa in some cases. This approach highlights the importance of matrix techniques in advancing our understanding and application of function expansions.
\\
References
\\
$[1]$ A.Sierspinka Quelques id\'ees sur la m\'ethodologie de la recherche en didactique des math\'ematiques li\'ees \`a la
notion d'obstacle \'epist\'emologique, Cahier de Didactique des Math\'ematiques, 7,85-86, (1989).
\\
$[2]$ R.Kouki Comparaison entre l'\'evolution historique ayant men\'e aux d\'eveloppements limit\'es et leur pratique
d'enseignement au d\'ebut de l'universit\'e : Entre syntaxe et s\'emantique, First conference of International Network for Didactic Research in University Mathematics, Montpellier, France, (2016) ffhal-01337899ff
\\
$[3]$ R.Douady Jeux de cadres et dialectique outil-objet, Recherches en Didactique des Math\'ematiques, 7(2) 5-31,(1986).  "
35,Deb,Sarkar,Contributed talk,Results on strong coupled best proximity point with application to non-linear differential equation,"Fixed point theory plays very crucial role in different fields specially in functional analysis. In this paper, some results on strong coupled best proximity point using some new inequalities have been established. A suitable example has also been given supporting the result. In consequences, a result of strong coupled fixed point has been given. Also, an application to non-linear differential equation has been shown. "
36,Daniel,Kressner,Plenary talk,Adaptive randomized pivoting,"Finding good subsets of row and column indices, often called pivots, is a ubiquitous task in applied and numerical linear algebra. One of its most famous appearances is arguably in Gaussian elimination for solving linear systems, where a good choice of pivots is crucial for numerical stability. This talk will focus on pivoting in the context of low-dimensional approximation, including column subset selection, discrete empirical interpolation, and various interpolative decompositions, such as the CUR and Cholesky/Nystrom approximations. In all of these cases, a greedy choice of pivots usually works well but there are well-known counterexamples where such a choice leads to poor results. We present a new randomized pivot selection strategy that avoids such unfavorable worst-case performance by using adaptivity in two senses: It adapts to information on the range / co-range of a matrix, and the sampling distribution is updated after each pivot selection. Adaptive randomized pivoting enjoys error guarantees that match, in expectation, the best known existence results. At the same time, it is   simpler and usually cheaper than volume-based techniques, which achieve similar guarantees through volume sampling or iterative local volume maximization. We will illustrate several applications of adaptive randomized pivoting and discuss derandomized variants. This talk is based on joint work with Alice Cortinovis, University of Pisa."
37,Piyush,Verma,Contributed talk,Laplacian spectral properties of token graphs,"Let $G$ be a graph on $n$ vertices. For a given integer $k$ such that $1\leq k \leq n$, the $k$-token graph $F_k(G)$ of $G$ is defined as the graph whose vertices are the $k$-subsets of the vertex set of $G$, and two of them are adjacent whenever their symmetric difference is a pair of adjacent vertices in $G$. Token graphs have applications in coding theory and quantum mechanics. It was conjectured that for any graph $G$, the algebraic connectivity of $F_k(G)$ is equal to the algebraic connectivity of $G$. This result turned out to be a theorem, as it was proved by using the theory of the continuous Markov chain of random walks and interchange process. However, proving this theorem using algebraic and combinatorial methods is still an open and interesting problem. In this talk, we discuss the algebraic connectivity and Laplacian spectral radius of token graphs. Moreover, we study the Laplacian integral token graphs. This talk is based on joint work with Sasmita Barik."
38,Zsigmond,Tarcsay,Contributed talk,On the UV limit of Wilsonian renormalization group flows of Feynman measures,"In nonperturbative formulation of Euclidean signature quantum field theory, the vacuum state is characterized by the Wilsonian renormalization group  flow of Feynman measures. Such a  flow is a family $(\mu_\eta)_{\eta\in\mathcal S}$ of finite measures on Borel sets  of the space of Schwartz distributions $\mathcal S'$, linked by the Wilsonian renormalization group equation $\mu^{}_{\eta*\zeta}=(C_\eta)^{}_{\#}\mu^{}_\zeta$, for every pair Schwartz functions $\zeta,\eta\in \mathcal S$. Here, $C_\eta\zeta:=\eta*\zeta$ stands for the convolution of  the Schwartz functions $\zeta,\eta\in \mathcal{S}$, while $(C_\eta)_{\#}\mu_\zeta$ denotes the corresponding pushforward measure by $C_\eta$. The goal of this talk is to show the existence of an ultimate Borel measure $\mu$ (called the UV limit of the flow), such that for all $\eta\in\mathcal{S}$ the factorization identity $\mu_{\eta}=(C_{\eta})_{\#}\,\mu$ holds."
39,Smrati,Pandey,Contributed talk,Spectral properties of the eccentricity matrix of graph products,"Let $G$ be a connected and simple graph. The eccentricity of a vertex $u \in G$, $(e(u))$, is defined as the maximum distance from $u$ to any other vertex $v \in G$ in the graph. The eccentricity matrix, $\epsilon(G)$ is derived from the distance matrix whose $(u, v)$-th entry is equal to $d(u, v)$ if $d(u, v)$ is the minimum of $\{e(u), e(v)\}$, and is zero otherwise. Note that $d(u, v)$ is the distance between the vertices $u$ and $v$. A graph $G$ is said to be self centered if the eccentricity of each vertex of $G$ is same. 

The corona product is a prominent graph operation known for its distinct structural features and has been the focus of extensive research. Over the time, several variations of the corona product have been introduced and analyzed.

Assume that $G$ and $H$ are two finite graphs on $m$ and $n$ vertices, respectively. The corona product $G \circ H$ of two graphs $G$ and $H$, is constructed by keeping a single copy of $G$ and $m$ copies of $H$, and then connecting each vertex of the $j$-th copy of $H$ to the $j$-th vertex of $G$. The one-point-corona, denoted as $G \circ_z H$, is constructed similarly by taking one copy of $H$ for each vertex of $G$, but only the the root vertex $z$ from each copy of $H$ is connected to corresponding vertex in $G$ with an edge.

In this talk, we discuss the irreducibility and spectra of eccentricity matrices obtained from the  corona product and the one point corona product of graphs $G$ and $H$, where $G$ is a self-centered graph."
40,Jyoti,Rani,"MS33: Norms of matrices, numerical range, applications of functional analysis to matrix theory",On the generalizations of $q$-numerical range and radius,"Let $\mathcal{B(H)}$ be the $C^*$ algebra of all bounded linear operators acting on the Hilbert space $(\mathcal{H}, \langle .,. \rangle )$ equipped with the operator norm. For any $T \in \mathcal{B(H)}$, 
a generalization of the classical numerical range, namely $q$-numerical range was introduced by Marcus and Andresen in 1977 on $n$- dimensional unitary space. In 1984, the convexity of $q$-numerical range was proved by Nam-Kiu Tsing. The $q$-numerical range of $T \in \mathcal{B}(\mathcal{H})$ is defined by 
\[
W_q(T)=\{ \langle Tx,y \rangle: x,y \in H, \|x\|=\|y\|=1, \langle x,y \rangle=q \}.
\]
		And the $q$-numerical radius of $T \in B(\mathcal{H})$ is of the form
\[
			w_q(T)=\sup_{w \in W_q(T)}|w|.
\]
We introduce and examine the concept of the $q$-numerical range, namely, $q$-joint numerical range, for $n$-tuples of bounded linear operators in Hilbert spaces. We derive several inequalities related to the $q$-numerical radius of these operator tuples. Furthermore, we present a generalization of the $q$-numerical range of an operator $T \in \mathcal{B}(\mathcal{H})$ within the context of semi-Hilbertian spaces. Initially, we established the convexity properties of the $q$-numerical range within semi-Hilbertian space, followed by an examination of its relationship with the spectrum in the same context. We have derived several numerical-radius inequalities for the $q$-numerical radius in semi-Hilbertian space, which generalize numerous existing inequalities in the literature. 

Some part of this work has been jointly done with Dr. Arnab Patra, Dr. Kais Feki, Dr. Zakaria Taki."
41,Souad,Mohaoui,Contributed talk,Tucker decomposition with temporal regularization for motion capture data completion,"Tensor decompositions are powerful frameworks for analyzing high-dimensional data by factorizing multi-way arrays into smaller, interpretable components. In particular, Tucker decomposition has emerged as a tool for modeling multi-dimensional data, helping to uncover underlying patterns, especially in the presence of missing data. In this study, we leverage Tucker decomposition for the completion of motion capture (MoCap) data, which is inherently multi-dimensional and characterized by complex temporal dependencies. MoCap data often suffers from gaps due to missing markers during the recording process, leading to the need for efficient and accurate gap-filling methods. We propose two gap-filling algorithms based on Tucker decomposition: Tucker and TuckerTNN. These methods exploit the low-rank properties of MoCap tensors. To address the computational challenges associated with traditional smoothness regularization, we introduce a temporal nuclear norm regularization in the TuckerTNN model, which provides a more efficient solution for large-scale MoCap datasets. We evaluate the proposed algorithms using the publicly available HDM05 MoCap dataset."
42,Froilan M.,Dopico,"MS14: Pencils, polynomial, and rational matrices",Polynomial and rational matrices with the invariant rational functions and the four sequences of minimal indices prescribed,"The complete eigenstructure, or structural data, of a rational matrix
$R(s)$ is comprised by its invariant rational functions, both finite
and at infinity, which determine its finite and infinite pole and zero
structures, and by the minimal indices of its left and right null spaces.
These quantities arise in many applications and have been thoroughly
studied in numerous references. However, $R(s)$ has other two fundamental
subspaces which, in contrast, have received much less attention
in the literature. They are its column and row spaces, which also have
their associated minimal indices. This work solves the problems of
finding necessary and sufficient conditions for the existence of rational
matrices in two scenarios: (a) when the invariant rational functions and the minimal indices of the column and row spaces are prescribed,
and (b) when the complete eigenstructure together with the minimal
indices of the column and row spaces are prescribed. The particular,
but extremely important, cases of these problems for polynomial matrices
are solved first and are the main tool for solving the general
problems. The results in this work complete and extend non-trivially
the necessary and sufficient conditions recently developed in the literature
for the existence of polynomial and rational matrices when only
the complete eigenstructure is prescribed.

This is joint work with Itziar Baraga\~na and Silvia Marcaida (Universidad del Pa\'is Vasco UPV/EHU, Spain) and Alicia Roca (Universitat Polit\`ecnica de Val\`encia, Spain)."
43,Brooke,Randell,"MS33: Norms of matrices, numerical range, applications of functional analysis to matrix theory",Exploring the numerical range of block Toeplitz operators,"We will discuss the numerical range of a family of Toeplitz operators with symbol function \(\phi(z)=A_0+zA_1\), where \(A_0\) and \(A_1\) are \(2 \times 2\) matrices with complex-valued entries. A special case of a result proved by Bebiano and Spitkovsky in 2011 states that the closure of the numerical range of the Toeplitz operator \(T_{\phi(z)}\) is the convex hull of \(\{W(\phi(z)): z \in \partial \mathbb{D}\}\). Here, \(W(\phi(z))\) denotes the numerical range of \(\phi(z)\). We combine this result with the envelope algorithm to describe the boundary of the convex hull of \(\{W(\phi(z)): z \in \partial \mathbb{D}\}\). We also place specific conditions on the matrices \(A_0\) and \(A_1\) so that \(\{W(\phi(z)): z \in \partial \mathbb{D}\}\) is a set of potentially degenerate circular disks. The convex hull of \(\{W(\phi(z)): z \in \partial \mathbb{D}\}\) takes on a wide variety of shapes, including the convex hull of lima\c{c}ons."
44,Anmary,Tonny,MS7: Linear algebra and quantum information science,Results on the symplectic spectrum of some special classes of operators,"Williamson's Normal form for $2n\times 2n$ real positive matrices is a symplectic analogue of the spectral theorem for normal matrices. With the recent developments in quantum information theory,  Williamson's normal form has opened up an active research area that may be dubbed as ``finite dimensional symplectic spectral theory'', analogous to the usual spectral theory and matrix analysis. An infinite dimensional analogue of the Williamson's Normal form has appeared recently and has already become a corner stone for the theory of infinite mode quantum Gaussian states. However, most existing results pertain to finite-dimensional operators, leaving a dearth of literature in the infinite-dimensional context. The aim of this talk is to discuss some recent results in this direction. Specifically, we discuss the recently proved inequality between the eigenvalues and symplectic eigenvalues for positive invertible operators $T$ on $\mathcal{H} \oplus \mathcal{H}$ (where $\mathcal{H}$ is a real separable Hilbert space) such that $T- \alpha I$ is compact for some $\alpha > 0$ and see its applications on the Gaussian covariance operators and positive Absolutely Norm attaining operators ($(\mathcal{AN})_+$ operators). We also show that the symplectic spectrum lies within the bounds of the spectrum for operators on specific classes. Additionally, we provide a method to recover the symplectic spectrum of Gaussian covariance operators through truncation."
45,Ning,Zheng,Contributed talk,Randominzed inner iteration preconditioning ,"Many scientific computing problems have associated condition numbers that reflect the sensitivity and difficulty of solving the problem numerically. 
The preconditioning technique replaces a badly conditioned problem with an equivalent problem with a smaller condition number. 
We propose using randomized iteration algorithms as implicit preconditioners for the Krylov subspace methods to solve linear systems and linear least squares problem. 
Theoretical justifications of the preconditioned GMRES are presented. 
Numerical experiments on overdetermined and underdetermined linear systems show that the proposed method is superior to the other classical preconditioners in terms of total CPU time.
%Linear algebra is a fundamental branch of mathematics that underpins numerous scientific and technological advancements. It provides essential tools for solving systems of equations, transforming geometric spaces, and analyzing data. With applications in engineering, computer science, physics, economics, and machine learning, linear algebra plays a crucial role in modern innovations, from image processing to artificial intelligence. "
46,Anusree,Sreedharan,MS1: Embracing new opportunities in numerical linear algebra,Hyperbolic wavelets and multiresolution in $A_{\alpha}^{2} (\mathbb{D})$,"We examine rational Blaschke functions that are capable to formulate a Multiresolution on the weighted Bergman space of the open unit disc $A_{\alpha}^{2} (\mathbb{D})$. We construct a rational orthogonal wavelet system that generates the levels of the multiresolution. The levels of the multiresolution are finite dimensional, which makes it easier to find a basis on each level. We can approximate any $f \in A_{\alpha}^{2} (\mathbb{D})$ by the projection operator on the $n^{\mbox{th}}$ resolution level. The projection will be an interpolation operator and whose coefficients can be computed through the evaluation of $f$ on a given set of points in the unit disc. We extend the results to weighted Bergman space of upper half plane and we introduce a numerical method to compute the coefficients when the values of $f$ are given on a set of points in the upper half-plane. "
47,Manisha,Devi,Contributed talk,On the eigenvalues of the matrix $[f(g(p_i-p_j))]$,"We prove that if $g:\mathcal{R}\rightarrow[0,\infty)$ is a conditionally negative definite function and $f:[0,\infty)\rightarrow[0,\infty)$ is a Bernstein function, then the function $f\circ g$ is conditionally negative definite. The inertia of the matrix $[f(g(p_i-p_j))]$ is $(1,0,n-1)$ if $g(x)=0$ only for $x=0$ and $f$ is non-linear. A new and easy proof is also presented to demonstrate that the matrix $[\log(1-p_ip_j)]$ is negative definite for $n$ distinct positive real numbers $p_i<1, ~\forall~i$. Numerous more relevant results are discussed. These results supplements and unifies previous findings for operator monotone functions demonstrated by several authors, including Dyn, Goodman and Michelli, Bhatia and Jain, Garg and Aujla, and Garg and Agarwal."
48,Anmary,Tonny,Contributed talk,Results on the symplectic spectrum of some special classes of operators,"Williamson's Normal form for $2n\times 2n$ real positive matrices is a symplectic analogue of the spectral theorem for normal matrices. With the recent developments in quantum information theory,  Williamson's normal form has opened up an active research area that may be dubbed as ``finite dimensional symplectic spectral theory'', analogous to the usual spectral theory and matrix analysis. An infinite dimensional analogue of the Williamson's Normal form has appeared recently and has already become a corner stone for the theory of infinite mode quantum Gaussian states. However, most existing results pertain to finite-dimensional operators, leaving a dearth of literature in the infinite-dimensional context. The aim of this talk is to discuss some recent results in this direction. Specifically, we discuss the recently proved inequality between the eigenvalues and symplectic eigenvalues for positive invertible operators $T$ on $\mathcal{H} \oplus \mathcal{H}$ (where $\mathcal{H}$ is a real separable Hilbert space) such that $T- \alpha I$ is compact for some $\alpha > 0$ and see its applications on the Gaussian covariance operators and positive Absolutely Norm attaining operators ($(\mathcal{AN})_+$ operators). We also show that the symplectic spectrum lies within the bounds of the spectrum for operators on specific classes. Additionally, we provide a method to recover the symplectic spectrum of Gaussian covariance operators through truncation."
49,Athul,Augustine,Contributed talk,Composition operators and convexity of their Berezin range on functional Hilbert spaces,"We discuss the convexity of the range of the Berezin transform. Berezin range of a bounded linear operator $T$ acting on a reproducing kernel Hilbert space $\mathcal{H}$ is the set $B(T)$ := $\{\langle T\hat{k}_{x},\hat{k}_{x} \rangle_{\mathcal{H}} : x \in X\}$, where $\hat{k}_{x}$ is the normalized reproducing kernel for $\mathcal{H}$ at $x \in X$. The \textit{numerical range} of a bounded linear operator $T$ on a Hilbert space $\mathcal{H}$ is defined as $W(A):= \{\langle Tu,u\rangle : \|u\| = 1 \}.$ By Toeplitz-Hausdorff theorem, the numerical range of a linear operator on a Hilbert space is always convex.  It is easy to observe that the Berezin range of an operator $T$ is always a subset of the numerical range of $T$. In general, the Berezin range of an operator is not convex. Primarily, we focus on characterizing 
convexity of the Berezin range for classes of composition operators acting on some functional Hilbert spaces.
"
50,Jonas,Bresch,MS4: Linear algebra methods for inverse problems and data assimilation,"Matrix-free stochastic calculation of operator norms without using adjoint---on the way to compute the adjoint mismatch
","Linear inverse problems are of great interest in the last years.
In this talk, we investigate linear inverse problems where the adjoint of the forward operator is not know exactly.
Therefore, we focus on the problem of computing the norm of an operator (between finite dimensional Hilbert spaces),
more precisely $\|A\|$ respectively $\|A - V\|$,
where only evaluations of the linear map $x \mapsto A x$, 
respectively and $y \mapsto V^*y$ are available 
with restrictive storage assumptions for the proposed algorithm.
We propose stochastic methods of random search type for the maximization of the Rayleigh quotient
respectively Rayleigh-like quotient
and employ exact line search in the random search directions.
Moreover, 
we can show that the proposed algorithms converge to the global maximum 
(the operator norm) almost surely 
and illustrate the performance of the method with numerical experiments.
Furthermore, 
for the latter problem we can prove a convergence rate.
"
51,Anzila,Laikhuram,MS17: Graphs and matrices in honor of Leslie Hogben's retirement,"Inverse eigenvalue problem for discrete Schrödinger operators of a graph
","The Inverse Eigenvalue Problem of a Graph (IEPG) determines whether a set of real numbers can be realized as the spectrum of a real symmetric matrix in $\mathcal{S}(G)$, where $\mathcal{S}(G)$ consists of symmetric matrices associated with a graph $G$, having non-zero off-diagonal entries only for adjacent vertices. Extending this, the Inverse Eigenvalue Problem for discrete Schr\""odinger operators investigates if a given set of real numbers can be the spectrum of a matrix in $\ddot{\mathcal{S}}(G)$, where off-diagonal entries are negative for edges and zero otherwise, with unrestricted diagonal entries. We begin with connected graphs on 4 vertices. For a list of real numbers $\lambda_1 < \lambda_2 \leq \lambda_3 \leq \lambda_4$, we determine if there exists a matrix in $\ddot{\mathcal{S}}(G)$ with spectrum $\{\lambda_1, \lambda_2, \lambda_3, \lambda_4\}$ and the smallest eigenvalue simple. We identify feasible ordered multiplicity lists, noting that not all are valid.   Our investigation extends to families of graphs such as paths ($P_n$), and complete graphs ($K_n$). For $P_n$, any set of $n$ distinct real numbers is realizable as a spectrum in $\ddot{\mathcal{S}}(P_n)$. For $K_n$, any ordered list $\lambda_1 < \lambda_2 \leq \dots \leq \lambda_n$ is achievable. "
52,Bibekananda,Sitha,Contributed talk,Dual core-EP generalized inverse and decomposition,"In this work, we introduce a new type of generalized inverse called dual core-EP generalized inverse (in short DCEPGI) for dual square matrices. We analyze the existence and uniqueness of the DCEPGI inverse and its compact formula using dual Drazin and dual MP inverses. Moreover, some characterizations using core-EP  decomposition are obtained. We present a new dual matrix decomposition named the dual core-EP decomposition for square dual matrices. In addition, some relationships with other dual generalized inverses are established. Solutions to some inconsistent system of linear dual equations are derived. 
"
53,Thaniporn,Chaysri,Contributed talk,"(Generic) Eigenvalue algorithms for matrices of quaternions, reduced biquaternions and their dual, and applications","Quaternions are a four-dimensional non-commutative algebra and a division ring of numbers introduced by Hamilton in 1843. The main obstacle in deriving eigenvalue algorithms for matrices of quaternions, due to non-cummutativity, is the efficient implementation of shifts. Other linear algebra concepts naturally carry over from real or complex numbers. 
Reduced biquaternions are a four-dimensional commutative number algebra, introduced by Segre in 1892. The main obstacles when deriving algorithms for matrices of reduced biquaternions are the existence of non-invertible non-zero elements, and the need to consistently define some basic linear algebra concepts in this setting. 
We present new efficient algorithms for the QR factorization and eigenvalue and singular value decompositions of these types of matrices and their dual, keeping them as generic as possible. 
We also present applications to computation of various types of matrix generalized inverses and image analysis. The algorithms are efficiently implemented using the multiple-dispatch feature of the programming language Julia. 
This is joint work with Ivan Slapni{\v c}ar, Nevena Jakov{\v c}evi{\' c} Stor, and Anita Carevi{\' c} from the Department of Mathematics and Physics, FESB, University of Split, Croatia, and Sk. Safique Ahmad, Neha Bhadala, Pinki Khatun, and Gyan Swarup Nag from the Department of Mathematics, IIT Indore, India.
This work has been partially supported by Croatian Science Foundation under the project IP-2020-02-2240.
"
54,Hojin,Chu,Contributed talk,"Structural properties of symmetric Toeplitz and Hankel matrices
","In this paper, we investigate properties of a symmetric Toeplitz matrix and a Hankel matrix by studying the components of its graph.
To this end, we introduce the notion of ``weighted Toeplitz graph'' and ``weighted Hankel graph'', which are weighted graphs whose adjacency matrix are a symmetric Toeplitz matrix and a Hankel matrix, respectively.
By studying the components of a weighted Toeplitz graph, we show that the Frobenius normal form of a symmetric Toeplitz matrix is a direct sum of symmetric irreducible Toeplitz matrices.
Similarly, by studying the components of a weighted Hankel matrix, we show that the Frobenius normal form of a Hankel matrix is a direct sum of irreducible Hankel matrices. "
55,Tejbir,Lohan,Contributed talk,"Product of two involutions in special linear groups
","An element of a group is called an involution if its square equals the identity element. Decomposing a group element into a product of involutions has applications in various areas of mathematics, with a particular focus on elements that can be expressed as the product of two involutions, known as \textit{strongly reversible}, \textit{strongly real}, or \textit{bireflectional} elements. Classifying strongly reversible elements in a group is a problem of broad interest. It is known that an element of the general linear group over a field is strongly reversible if and only if it is similar to its inverse. However, this result does not hold for special linear groups over a field or a division ring. In this talk, we will use the notion of reversibility to classify the strongly reversible elements in the complex special linear group and the quaternionic special linear group. This talk is based on joint work with Krishnendu Gongopadhyay and Chandan Maity.
"
56,Hojin,Chu,Contributed talk,"Structural properties of symmetric Toeplitz and Hankel matrices
","In this paper, we investigate properties of a symmetric Toeplitz matrix and a Hankel matrix by studying the components of its graph.
To this end, we introduce the notion of ``weighted Toeplitz graph'' and ``weighted Hankel graph'', which are weighted graphs whose adjacency matrix are a symmetric Toeplitz matrix and a Hankel matrix, respectively.
By studying the components of a weighted Toeplitz graph, we show that the Frobenius normal form of a symmetric Toeplitz matrix is a direct sum of symmetric irreducible Toeplitz matrices.
Similarly, by studying the components of a weighted Hankel matrix, we show that the Frobenius normal form of a Hankel matrix is a direct sum of irreducible Hankel matrices."
57,Sunyo,Moon,Contributed talk,"Edge completion of signed graphs with spectral integral variation
","Spectral variation of two matrices is integral if their spectra differ by integer quantities. For two signed graphs, where one is obtained from the other by adding a new edge, we characterize when the spectral variation of their signed Laplacian matrices becomes integral. Furthermore, for every fixed signed complete graph, we fully characterize the class of signed graphs to which one can recursively add new edges keeping spectral integral variation to make the signed complete graph.This generalizes Kirkland's characterization for integrally completable graphs (Discrete Math., 2005). This is joint work with Jungho Ahn and Cheolwon Heo.
"
58,Sirani,M. Perera,"MS26: Utilizing structure to achieve low-complexity algorithms for data science, engineering, and physics","A low-complexity structured neural network approach for dynamical systems
","Data-driven learning is advancing rapidly, offering a new perspective on understanding dynamic systems. On the other hand, traditional methods for solving chaotic and highly non-linear systems face challenges in computational efficiency due to their inherent complexity and dynamics. Fortunately, neural networks excel in solving highly non-linear systems, showing exceptional performance.  
\\\\
In this talk, we propose a neural network approach to update the states of dynamical systems through a structured operator known as a Hankel operator -- an operator characterized by a Hankel structure. Our goal is to develop an optimal, low-complexity learning algorithm that utilizes time-delay measurements to forecast future states effectively. By the conclusion of the talk, we will demonstrate how this operator can be employed to model state-space dynamical systems, enabling predictions and insights into future dynamics compared to conventional techniques: SINDy and HAVOK followed by the feedforward neural networks.
\\\\
This is a joint work with Hansaka Aluvihare, Levi Lingsch, and Xianqi Li. This work was funded by the Division of Mathematical Sciences at the National Science Foundation with the award numbers 2410676, 2410677, \& 2410678.
"
59,Amrita,Mandal,Contributed talk,"On order 5 trace zero doubly stochastic matrices and the corresponding eigenvalue region
 "," A non-negative square matrix is called a doubly stochastic (DS) matrix if all its row and column sums are exactly equal to $1.$ A vast literature is known for such matrices concerning the eigenvalue region, inverse eigenvalue problem or entry-wise distribution of the non-negative numbers when matrix size or order of the matrix is restricted up to $4,$
 whereas only a little is known for matrices of order $5$ or more except for some sets of doubly structured matrices. 
 %A DS matrix always can be represented as the convex combination of permutation matrices of concerned size.
 
 This talk concerns the following questions: What are those trace zero order $5$ DS matrices whose $k$-times multiplications are also trace zero matrices for some values of $k?$ What is the eigenvalue region of the set of trace zero order $5$ DS matrices? 
 
 We address these questions by proposing a graph theoretic approach to determine the trace of the product of two permutation matrices through a weighted digraph representation for a pair of permutation matrices. Then, we derive the DS matrices of order $5$ whose $k$-th power is also a trace-zero DS matrix for $k\in\{2,3,4,5\}$. Then, we determine necessary conditions for the coefficients of a generic polynomial of degree $5$ to be realizable as the characteristic polynomial of a trace-zero DS matrix of order $5$. Using this, we approximate the eigenvalue region of trace-zero DS matrices of order $5.$ 
 
 
 "
